trans_date,trans_amount
2020-05-18 01:58:32.334263+00:00,88.5
2020-05-18 01:08:54.918166+00:00,46.4
2020-05-18 01:04:00.081314+00:00,30
2020-05-18 00:54:00.203746+00:00,1999
2020-05-18 00:50:18.168055+00:00,178
2020-05-18 00:25:52.778817+00:00,74
2020-05-18 00:22:03.854920+00:00,242
2020-05-18 00:21:55.732381+00:00,199
2020-05-17 23:12:49.694329+00:00,3.19
2020-05-17 22:57:46.651581+00:00,25
2020-05-17 22:42:01.962394+00:00,99
2020-05-17 21:50:54.927491+00:00,140
2020-05-17 21:17:11.599598+00:00,979
2020-05-17 21:13:44.695868+00:00,106
2020-05-17 21:13:16.280440+00:00,87
2020-05-17 21:10:39.009447+00:00,59.62
2020-05-17 21:06:49.624584+00:00,31.64
2020-05-17 21:03:55.820444+00:00,48.5
2020-05-17 21:03:05.190384+00:00,220.6
2020-05-17 21:01:02.971983+00:00,61.6
2020-05-17 20:54:24.658633+00:00,79.02
2020-05-17 20:53:08.003721+00:00,0.08
2020-05-17 20:01:49.267583+00:00,98.24
2020-05-17 19:53:07.486212+00:00,31.64
2020-05-17 18:55:46.021624+00:00,303
2020-05-17 18:52:12.210744+00:00,918
2020-05-17 18:51:36.937556+00:00,190.66
2020-05-17 18:49:19.640309+00:00,46.5
2020-05-17 18:47:01.838276+00:00,99
2020-05-17 18:29:48.861035+00:00,28.62
2020-05-17 18:29:26.410849+00:00,71.7
2020-05-17 18:24:23.318223+00:00,55
2020-05-17 18:23:57.736587+00:00,320
2020-05-17 18:09:20.123615+00:00,205
2020-05-17 17:54:50.117850+00:00,889.61
2020-05-17 17:27:38.168519+00:00,329
2020-05-17 16:25:59.768014+00:00,17
2020-05-17 16:25:54.060586+00:00,79.5
2020-05-17 16:06:15.540635+00:00,89
2020-05-17 16:03:55.798663+00:00,68
2020-05-17 16:00:07.042535+00:00,20
2020-05-17 15:57:30.592570+00:00,281.75
2020-05-17 15:51:35.819299+00:00,32
2020-05-17 15:51:08.666577+00:00,2207.75
2020-05-17 15:30:55.366626+00:00,89
2020-05-17 15:29:34.103407+00:00,145
2020-05-17 14:53:39.397548+00:00,50
2020-05-17 14:49:01.286374+00:00,19
2020-05-17 14:43:55.516377+00:00,184
2020-05-17 14:43:50.807317+00:00,41.75
2020-05-17 14:24:16.962005+00:00,319
2020-05-17 12:54:49.470487+00:00,12.5
2020-05-17 07:22:11.590131+00:00,31.64
2020-05-17 07:09:21.169366+00:00,76.28
2020-05-17 05:01:21.314795+00:00,135
2020-05-17 03:56:36.888495+00:00,133
2020-05-17 03:48:24.789842+00:00,196.9
2020-05-17 03:27:25.936268+00:00,240
2020-05-17 03:18:13.234592+00:00,30
2020-05-17 03:14:56.663134+00:00,16
2020-05-17 02:28:39.141427+00:00,10
2020-05-17 01:55:41.222363+00:00,840.4
2020-05-17 01:46:15.085391+00:00,66
2020-05-17 01:42:41.777789+00:00,0.01
2020-05-17 01:28:50.690367+00:00,200
2020-05-17 01:17:32.971298+00:00,284
2020-05-17 00:18:42.922689+00:00,400
2020-05-17 00:08:12.643850+00:00,21
2020-05-17 00:04:20.502820+00:00,40.51
2020-05-16 23:57:08.341551+00:00,371
2020-05-16 23:52:05.783169+00:00,81.62
2020-05-16 23:47:37.008685+00:00,128
2020-05-16 23:42:35.654117+00:00,238
2020-05-16 23:17:43.246535+00:00,12.5
2020-05-16 23:16:21.924283+00:00,1764.12
2020-05-16 23:10:23.406048+00:00,20
2020-05-16 23:00:38.703913+00:00,10
2020-05-16 22:55:45.374588+00:00,200
2020-05-16 22:52:31.736954+00:00,10
2020-05-16 22:36:17.892430+00:00,42.8
2020-05-16 22:26:13.697315+00:00,120
2020-05-16 22:23:56.907248+00:00,194
2020-05-16 22:23:06.610106+00:00,81
2020-05-16 21:30:26.124784+00:00,350
2020-05-16 21:29:00.540895+00:00,520.78
2020-05-16 21:24:30.132205+00:00,71.6
2020-05-16 20:44:11.580709+00:00,213
2020-05-16 20:44:00.288494+00:00,159
2020-05-16 20:28:07.607775+00:00,278
2020-05-16 19:52:57.170704+00:00,27.09
2020-05-16 19:39:48.274278+00:00,12
2020-05-16 19:34:39.889577+00:00,599
2020-05-16 19:33:08.203335+00:00,575
2020-05-16 19:12:08.273487+00:00,1812.46
2020-05-16 18:58:38.556579+00:00,15
2020-05-16 18:49:47.965583+00:00,274
2020-05-16 18:44:34.171224+00:00,22
2020-05-16 18:00:24.125402+00:00,690.12
2020-05-16 17:26:54.446170+00:00,15
2020-05-16 17:23:58.463374+00:00,405
2020-05-16 17:16:01.156868+00:00,100
2020-05-16 17:10:18.696299+00:00,21
2020-05-16 16:56:39.524223+00:00,73.62
2020-05-16 16:29:51.772442+00:00,1435.07
2020-05-16 16:25:49.439792+00:00,616
2020-05-16 16:23:18.439825+00:00,20
2020-05-16 16:18:19.845361+00:00,1
2020-05-16 16:14:39.254867+00:00,127
2020-05-16 16:06:46.897708+00:00,2349.32
2020-05-16 15:43:50.279499+00:00,300
2020-05-16 15:34:15.128935+00:00,202
2020-05-16 15:25:10.841435+00:00,210
2020-05-16 15:23:01.804833+00:00,12.76
2020-05-16 14:49:39.909508+00:00,37
2020-05-16 14:47:03.853941+00:00,158
2020-05-16 14:42:34.689917+00:00,109
2020-05-16 14:36:29.917937+00:00,118
2020-05-16 14:04:15.728765+00:00,58.14
2020-05-16 13:33:39.712623+00:00,54.93
2020-05-16 13:04:16.887494+00:00,48000
2020-05-16 12:52:13.005391+00:00,116
2020-05-16 08:09:04.325844+00:00,33.8
2020-05-16 07:33:59.698488+00:00,235
2020-05-16 06:25:26.120539+00:00,5
2020-05-16 06:02:11.786851+00:00,545
2020-05-16 05:45:20.061015+00:00,33.8
2020-05-16 04:48:01.495757+00:00,99
2020-05-16 04:47:50.257481+00:00,20
2020-05-16 03:53:10.989718+00:00,26
2020-05-16 03:42:33.196454+00:00,30.5
2020-05-16 03:37:41.379450+00:00,34
2020-05-16 02:56:21.843762+00:00,181
2020-05-16 02:40:54.358460+00:00,189
2020-05-16 02:29:29.835783+00:00,255
2020-05-16 02:28:02.860559+00:00,178
2020-05-16 02:18:20.305122+00:00,520
2020-05-16 02:14:56.382725+00:00,139
2020-05-16 02:12:11.748817+00:00,896
